Source	Variance	SE	cover	ploidy	phenology
V(G)/Vp	0.735001	0.048507	cover25	all	EVImax
V(G)/Vp	0.523941	0.069949	cover25	all	GSL
V(G)/Vp	0.36664	0.06921	cover25	all	OGI
V(G)/Vp	0.444838	0.074376	cover25	all	OGMn
V(G)/Vp	0.265999	0.342586	cover25	diploid	EVImax
V(G)/Vp	0.614862	0.306192	cover25	diploid	GSL
V(G)/Vp	1e-6	0.348795	cover25	diploid	OGI
V(G)/Vp	1e-6	0.318938	cover25	diploid	OGMn
V(G)/Vp	0.669124	0.060789	cover25	triploid	EVImax
V(G)/Vp	0.506198	0.075692	cover25	triploid	GSL
V(G)/Vp	0.369171	0.072817	cover25	triploid	OGI
V(G)/Vp	0.512638	0.073547	cover25	triploid	OGMn
V(G)/Vp	0.533043	0.129777	cover50	all	EVImax
V(G)/Vp	0.683571	0.107629	cover50	all	GSL
V(G)/Vp	0.35735	0.128496	cover50	all	OGI
V(G)/Vp	0.522929	0.119968	cover50	all	OGMn
V(G)/Vp	0.512316	0.138052	cover50	triploid	EVImax
V(G)/Vp	0.694177	0.110081	cover50	triploid	GSL
V(G)/Vp	0.349404	0.129705	cover50	triploid	OGI
V(G)/Vp	0.731244	0.095411	cover50	triploid	OGMn
