"Site_Code","x","y","Elevation","Cos.aspect","Slope","Summer.Insolation","DBH.mean","Canopy_openness","Soil.type","Cytotype","geneticSexID","Rock_Unit","pheno.2016.EVImax","pheno.2016.GSL.50","pheno.2016.OGI","pheno.2016.OGMn","pheno.2017.EVImax","pheno.2017.GSL.50","pheno.2017.OGI","pheno.2017.OGMn","pheno.2018.EVImax","pheno.2018.GSL.50","pheno.2018.OGI","pheno.2018.OGMn","pheno.2019.EVImax","pheno.2019.GSL.50","pheno.2019.OGI","pheno.2019.OGMn","sm_q01.X2012","sm_q01.X2013","sm_q01.X2014","sm_q01.X2015","sm_q01.X2016","sm_q01.X2017","sm_q01.X2018","sm_q01.X2019","sm_runs_med_dur.X2012","sm_runs_med_dur.X2013","sm_runs_med_dur.X2014","sm_runs_med_dur.X2015","sm_runs_med_dur.X2016","sm_runs_med_dur.X2017","sm_runs_med_dur.X2018","sm_runs_med_dur.X2019","snowmelt.X2012","snowmelt.X2013","snowmelt.X2014","snowmelt.X2015","snowmelt.X2016","snowmelt.X2017","snowmelt.X2018","snowmelt.X2019","tmax_q99.X2012","tmax_q99.X2013","tmax_q99.X2014","tmax_q99.X2015","tmax_q99.X2016","tmax_q99.X2017","tmax_q99.X2018","tmax_q99.X2019","aspen_cover"
"ABEY",329766.859736411,4313166.07334167,3090.39823759553,-0.980413255037491,25.8937494151785,24.8701667785645,15.3818181818182,4,"Soil","Diploid","M","Igneous intrusive",0.615899980068207,100,141,285,0.607599973678589,102,136,286,0.595700025558472,92,136,277,0.635800004005432,NA,NA,308,0.30368036031723,0.327249437570572,0.358067989349365,0.358692109584808,0.344753116369247,0.341631263494492,0.291659146547318,0.314295768737793,0,0,0,0,0,0,0,0,99.6797332763672,132.003051757812,138.107376098633,118.35945892334,134.93896484375,141.342910766602,119.403945922852,154.339859008789,29.7605686187744,29.7665100097656,29.6832847595215,29.6520385742188,29.7433071136475,29.7137088775635,29.8255710601807,29.69801902771,0.250753074884415
"ABPZ",327109.631529365,4309967.83848618,3014.48465732445,-0.776137067408586,19.093112154201,23.0928077697754,21.2363636363636,3,"Soil","Triploid",NA,"Quaternary talus / rock glacier",0.629700005054474,94,145,284,0.614199995994568,100,145,289,0.594799995422363,102,139,291,0.638199985027313,NA,NA,301,0.144944220781326,0.1308274269104,0.136906385421753,0.160234913229942,0.147336483001709,0.139202699065208,0.115096688270569,0.117731600999832,31.8771533966064,34.5280227661133,22.7947788238525,89.0893630981445,39.1663131713867,70.0788726806641,13.1017913818359,91.3376541137695,107.714225769043,132.586669921875,142.888336181641,127.25089263916,132.586669921875,142.43000793457,120.127555847168,153,29.8826026916504,29.8924045562744,29.8401126861572,29.7777976989746,29.8673286437988,29.8675727844238,29.9673614501953,29.8411464691162,0.308393836021423
"ABVE",324613.034874096,4308590.77231573,2776.85586725337,-0.636077716367705,24.1109831899576,22.6224727630615,18.4,5,"Talus","Triploid","F","Quaternary deposit",0.622699975967407,103,134,279,0.576399981975555,96,136,275,0.60180002450943,101,129,271,0.64029997587204,100,150,289,0.280861496925354,0.292912811040878,0.351649791002274,0.335333317518234,0.339152336120605,0.358883142471313,0.276301890611649,0.3122299015522,0,0,0,0,0,0,0,0,106.498321533203,127.626251220703,133,113,124.123741149902,133.749160766602,117.749160766602,150.130645751953,29.8589477539062,29.8694553375244,29.8303279876709,29.756139755249,29.8372230529785,29.850269317627,29.94606590271,29.8170928955078,0.713424980640411
"ACFL",329697.427405791,4313162.81849776,3082.48102433438,-0.981657988477656,23.4294811132449,24.5642375946045,15.0545454545455,4,"Talus","Triploid","M","Igneous intrusive",0.620899975299835,110,137,282,0.627699971199036,111,133,284,0.61870002746582,108,132,284,0.665300011634827,NA,NA,301,0.309427738189697,0.335931003093719,0.367389738559723,0.367423802614212,0.351589858531952,0.348685950040817,0.296771019697189,0.319283157587051,0,0,0,0,0,0,0,0,97.3181762695312,132.708145141602,137.130874633789,113.636344909668,134.905395507812,140.867233276367,118.96183013916,153.159088134766,29.7643795013428,29.7702980041504,29.6869602203369,29.6554222106934,29.7473564147949,29.7182216644287,29.8298645019531,29.7023468017578,0.374846607446671
"ACGNT01",326972.4253226,4316448.5266888,2990.49961964719,-0.367124412808791,16.9998835555858,21.431827545166,33.2571428571429,3,"Talus","Triploid","M","Quaternary deposit",0.48989999294281,NA,NA,272,0.475199997425079,NA,143,NA,0.476799994707108,84,139,263,0.478799998760223,83,155,276,0.27819436788559,0.305284053087234,0.3702272772789,0.36661559343338,0.350585997104645,0.380508154630661,0.287152290344238,0.336483329534531,0,0,0,0,0,0,0,0,121,137,148.716033935547,141,137.542907714844,153,130.691955566406,163.566986083984,29.6429443359375,29.6465187072754,29.5169277191162,29.5077476501465,29.6239986419678,29.5679130554199,29.7167663574219,29.5712127685547,0.0532765425741673
"AEBVG",320941.59758648,4302960.59327264,2998.31893139829,-0.688123057548107,24.7801482368689,23.5482521057129,14.2363636363636,3,"Scree",NA,"M","Igneous intrusive",0.485599994659424,NA,NA,284,0.457300007343292,NA,NA,281,0.45550000667572,95,136,275,0.483700007200241,NA,NA,286,0.183488711714745,0.183528408408165,0.221869930624962,0.250970810651779,0.240088254213333,0.210118472576141,0.160214468836784,0.174899965524673,16.5377311706543,13.7688655853271,6.63819885253906,58.5,24.155834197998,48.1810111999512,23.9265670776367,2.20691871643066,129.243713378906,145,147.962219238281,123.525718688965,145.814208984375,153,125.34693145752,162.384719848633,29.7428646087646,29.7529544830322,29.7309112548828,29.6540374755859,29.7388496398926,29.7457332611084,29.827465057373,29.698657989502,0.539857089519501
"AFOG",327101.927605476,4310091.46909306,3038.44912436466,-0.761077734120201,14.8336594041539,22.4564609527588,24.99,3,"Soil","Triploid","M","Quaternary talus / rock glacier",0.605300009250641,95,148,284,0.595499992370605,101,146,289,0.571300029754639,107,139,285,0.603299975395203,98,156,292,0.154519975185394,0.140737786889076,0.148602470755577,0.174288555979729,0.161165609955788,0.151097863912582,0.12172831594944,0.126045852899551,44.2543144226074,35.8470764160156,30.8607025146484,91.614372253418,40.7568664550781,73.7188110351562,16.5330600738525,72.785758972168,107.400009155273,131.715881347656,142.184265136719,122.684730529785,131.715881347656,144.504989624023,120.684120178223,153,29.8788757324219,29.8886661529541,29.8348083496094,29.7738742828369,29.8638706207275,29.8631706237793,29.963623046875,29.8367958068848,0.414669454097748
"AGXLZ",327346.757674397,4310062.18784653,3097.72397142707,-0.799952761691742,26.1009579712373,23.8570365905762,17.6181818181818,5,"Talus","Triploid","M","Quaternary talus / rock glacier",0.632600009441376,102,145,322,0.627699971199036,108,144,293,0.624899983406067,112,136,296,0.646700024604797,104,148,302,0.12832935154438,0.117183491587639,0.123080722987652,0.141031712293625,0.130269035696983,0.124299049377441,0.107820846140385,0.107678070664406,56.6812057495117,39.7899284362793,39.0086212158203,78.6031875610352,42.3355140686035,77.8297729492188,23.5758171081543,82.1734771728516,104.163185119629,129,136.538482666016,113.661018371582,130.408248901367,143.329742431641,120.163185119629,153,29.8860111236572,29.8955688476562,29.8426399230957,29.7810554504395,29.8712062835693,29.8706512451172,29.9700260162354,29.8445014953613,0.770326256752014
"AHQT",324637.598129671,4308798.56937227,2816.8105873408,-0.707160939518721,11.4669491697239,21.77077293396,25.47,5,"Soil","Triploid","M","Quaternary deposit",0.598699986934662,108,144,287,0.587800025939941,104,144,285,0.599900007247925,115,131,290,0.595600008964539,105,155,292,0.288944244384766,0.299146920442581,0.349541425704956,0.340743124485016,0.343152523040771,0.353515207767487,0.281552642583847,0.315387845039368,0,0,0,0,0,0,0,0,97.0782241821289,129.001281738281,133.000640869141,113.001281738281,117.190322875977,129.037826538086,113.039115905762,141.056747436523,29.8543357849121,29.8649444580078,29.8228359222412,29.7510719299316,29.8332424163818,29.844295501709,29.9419651031494,29.8118801116943,0.718789517879486
"AHUK",327017.91609118,4310136.80084931,3032.92708079664,-0.700164154290074,15.7363162601072,22.3068313598633,19.1818181818182,4,"Soil",NA,NA,"Quaternary talus / rock glacier",0.592700004577637,103,145,289,0.559700012207031,93,144,282,0.562900006771088,107,136,283,0.626999974250793,100,152,294,0.169434696435928,0.154793471097946,0.164342269301414,0.194163829088211,0.180040195584297,0.16744501888752,0.130486235022545,0.137311950325966,41.977783203125,34.5010452270508,29.3562431335449,97.7010650634766,40.4720230102539,72.8569946289062,14.5959234237671,61.7662048339844,109.126686096191,132.589584350586,143.430877685547,123.993179321289,132.290267944336,144.491577148438,121,153.209106445312,29.8746585845947,29.8845310211182,29.8296775817871,29.7695560455322,29.8596992492676,29.8585472106934,29.9596824645996,29.8321132659912,0.369296908378601
