"yvar","variable","importance"
"OGI","year",24499.4055117761
"OGI","year",24798.1141680216
"OGI","year",21920.9330716481
"OGI","year",21714.3437100788
"OGI","year",24392.9720311608
"OGI","year",24045.6520266273
"OGI","year",24752.982255789
"OGI","year",25245.1105931185
"OGI","year",22625.079565451
"OGI","year",25529.1712148048
"OGMn","year",38799.6986749994
"OGMn","year",34976.6056836213
"OGMn","year",32778.9776941538
"OGMn","year",39309.5980218931
"OGMn","year",33212.8185675168
"OGMn","year",40591.8138357029
"OGMn","year",36797.2332246905
"OGMn","year",42139.3175135628
"OGMn","year",36389.3151732438
"OGMn","year",39632.9754699525
"GSL.50","year",1480.71003471394
"GSL.50","year",1239.12837140474
"GSL.50","year",1612.18541834773
"GSL.50","year",1217.9180455761
"GSL.50","year",1388.04487168449
"GSL.50","year",1285.76272979973
"GSL.50","year",1476.9182403063
"GSL.50","year",1311.91711865234
"GSL.50","year",1489.4965435042
"GSL.50","year",1419.26922435358
"EVImax","year",0.144629404363478
"EVImax","year",0.13504613215947
"EVImax","year",0.101819854243107
"EVImax","year",0.128516504641988
"EVImax","year",0.137525476908401
"EVImax","year",0.120871297743536
"EVImax","year",0.121512622561421
"EVImax","year",0.117118864002946
"EVImax","year",0.125328301502127
"EVImax","year",0.11364932490422
"OGI","elevation",6319.06318760323
"OGI","elevation",7101.36784851326
"OGI","elevation",6314.70482642104
"OGI","elevation",5775.81050607545
"OGI","elevation",6500.05857090489
"OGI","elevation",6247.57774464631
"OGI","elevation",6020.05547583339
"OGI","elevation",6056.95177286917
"OGI","elevation",5866.81548972993
"OGI","elevation",6597.41612801344
"OGMn","elevation",13290.9585884076
"OGMn","elevation",12603.2349853669
"OGMn","elevation",11780.3160789827
"OGMn","elevation",12815.3245154345
"OGMn","elevation",12249.2790368598
"OGMn","elevation",13446.256408069
"OGMn","elevation",14367.8762439826
"OGMn","elevation",14510.3897241241
"OGMn","elevation",13677.4407959874
"OGMn","elevation",13778.1841535354
"GSL.50","elevation",22135.8171160479
"GSL.50","elevation",22541.1886000179
"GSL.50","elevation",22703.5919335791
"GSL.50","elevation",19950.603088348
"GSL.50","elevation",21024.2883757951
"GSL.50","elevation",23062.0289690952
"GSL.50","elevation",22288.8095376536
"GSL.50","elevation",22037.4499630817
"GSL.50","elevation",18912.4355938642
"GSL.50","elevation",22955.5163639731
"EVImax","elevation",0.206417593179906
"EVImax","elevation",0.206063768035584
"EVImax","elevation",0.194237712356077
"EVImax","elevation",0.200124145712941
"EVImax","elevation",0.180930459739575
"EVImax","elevation",0.186244958191066
"EVImax","elevation",0.209300868686913
"EVImax","elevation",0.183958308892704
"EVImax","elevation",0.189251849816393
"EVImax","elevation",0.196660262381487
"OGI","cos_aspect",978.474092054145
"OGI","cos_aspect",1124.60262286656
"OGI","cos_aspect",1099.27856517314
"OGI","cos_aspect",1057.74530854439
"OGI","cos_aspect",1043.11890024836
"OGI","cos_aspect",1026.9871302615
"OGI","cos_aspect",947.883983740773
"OGI","cos_aspect",995.13308953147
"OGI","cos_aspect",1069.44968815607
"OGI","cos_aspect",1090.0081584877
"OGMn","cos_aspect",20073.5350993945
"OGMn","cos_aspect",21015.0169631371
"OGMn","cos_aspect",18017.2661854505
"OGMn","cos_aspect",18926.7488448275
"OGMn","cos_aspect",17918.6778516487
"OGMn","cos_aspect",19568.6579624439
"OGMn","cos_aspect",21335.1242718674
"OGMn","cos_aspect",20434.8904102292
"OGMn","cos_aspect",20106.4092087987
"OGMn","cos_aspect",17107.9556530159
"GSL.50","cos_aspect",5401.85546241625
"GSL.50","cos_aspect",5302.8723235214
"GSL.50","cos_aspect",5050.36918671378
"GSL.50","cos_aspect",5342.62091508748
"GSL.50","cos_aspect",5179.67564839307
"GSL.50","cos_aspect",5236.23733892265
"GSL.50","cos_aspect",4808.67617709491
"GSL.50","cos_aspect",5240.60401574057
"GSL.50","cos_aspect",5596.46227922794
"GSL.50","cos_aspect",4890.43481487062
"EVImax","cos_aspect",0.143113863784783
"EVImax","cos_aspect",0.128263341367572
"EVImax","cos_aspect",0.144756342125779
"EVImax","cos_aspect",0.152913358538423
"EVImax","cos_aspect",0.133310955222749
"EVImax","cos_aspect",0.138977366986573
"EVImax","cos_aspect",0.148939953048671
"EVImax","cos_aspect",0.146689586437334
"EVImax","cos_aspect",0.141618174500106
"EVImax","cos_aspect",0.132929192746519
"OGI","slope",1914.43828486501
"OGI","slope",1876.29370649723
"OGI","slope",1819.812573324
"OGI","slope",1831.63608743225
"OGI","slope",1938.92204316196
"OGI","slope",1998.54935499403
"OGI","slope",1922.64030741795
"OGI","slope",1635.769986717
"OGI","slope",2065.44607848113
"OGI","slope",1685.12159898887
"OGMn","slope",3490.14280714157
"OGMn","slope",4714.17580285
"OGMn","slope",3037.59512456604
"OGMn","slope",4084.44425332625
"OGMn","slope",4358.09334146281
"OGMn","slope",3624.55491876367
"OGMn","slope",4377.62030418325
"OGMn","slope",4409.98592320019
"OGMn","slope",4430.51547174035
"OGMn","slope",4432.84550622215
"GSL.50","slope",2934.30790619338
"GSL.50","slope",2835.63887871266
"GSL.50","slope",2851.73366039038
"GSL.50","slope",3066.84986158825
"GSL.50","slope",2877.11308685127
"GSL.50","slope",3199.08148857391
"GSL.50","slope",3068.97213808727
"GSL.50","slope",3161.45712806317
"GSL.50","slope",3400.16338735465
"GSL.50","slope",3102.24047487876
"EVImax","slope",0.142155950550573
"EVImax","slope",0.142861752875201
"EVImax","slope",0.139978172941377
"EVImax","slope",0.152860964995105
"EVImax","slope",0.152631125469591
"EVImax","slope",0.151058853688994
"EVImax","slope",0.14330674257756
"EVImax","slope",0.133300809754119
"EVImax","slope",0.130557927738493
"EVImax","slope",0.134071301996684
"OGI","height_canopy",842.720451522104
"OGI","height_canopy",867.595570855866
"OGI","height_canopy",792.612730274854
"OGI","height_canopy",812.305296557484
"OGI","height_canopy",824.753610520848
"OGI","height_canopy",821.881419402869
"OGI","height_canopy",871.526385107427
"OGI","height_canopy",821.294949629417
"OGI","height_canopy",878.968664740039
"OGI","height_canopy",913.455438669042
"OGMn","height_canopy",6037.75319866608
"OGMn","height_canopy",6411.95841806452
"OGMn","height_canopy",5876.94626878011
"OGMn","height_canopy",5638.48667852673
"OGMn","height_canopy",5513.74015421695
"OGMn","height_canopy",6161.58386839136
"OGMn","height_canopy",6943.58171597091
"OGMn","height_canopy",6302.96992366432
"OGMn","height_canopy",6468.57231251767
"OGMn","height_canopy",6481.54777314293
"GSL.50","height_canopy",9138.68894840129
"GSL.50","height_canopy",9813.55574954018
"GSL.50","height_canopy",9420.04588275205
"GSL.50","height_canopy",7912.19835627892
"GSL.50","height_canopy",9221.68539390956
"GSL.50","height_canopy",9086.08557360575
"GSL.50","height_canopy",8558.56393184751
"GSL.50","height_canopy",8316.14373094829
"GSL.50","height_canopy",8590.74315928314
"GSL.50","height_canopy",10199.9685396282
"EVImax","height_canopy",0.290870475500722
"EVImax","height_canopy",0.243325932144759
"EVImax","height_canopy",0.274370659226903
"EVImax","height_canopy",0.249435947236062
"EVImax","height_canopy",0.295487559114013
"EVImax","height_canopy",0.243764633367205
"EVImax","height_canopy",0.305472451906068
"EVImax","height_canopy",0.268544026457187
"EVImax","height_canopy",0.273154103971215
"EVImax","height_canopy",0.261612262863482
"OGI","cytotype_fraction_diploid",742.485775557462
"OGI","cytotype_fraction_diploid",664.618075871594
"OGI","cytotype_fraction_diploid",646.129020851513
"OGI","cytotype_fraction_diploid",638.133801280229
"OGI","cytotype_fraction_diploid",632.515199405121
"OGI","cytotype_fraction_diploid",725.219191020537
"OGI","cytotype_fraction_diploid",622.604292691279
"OGI","cytotype_fraction_diploid",657.292401745804
"OGI","cytotype_fraction_diploid",691.335214127531
"OGI","cytotype_fraction_diploid",681.311561858585
"OGMn","cytotype_fraction_diploid",4337.03980507913
"OGMn","cytotype_fraction_diploid",5068.21517031655
"OGMn","cytotype_fraction_diploid",4416.18088761445
"OGMn","cytotype_fraction_diploid",5004.80909191323
"OGMn","cytotype_fraction_diploid",4987.39411907687
"OGMn","cytotype_fraction_diploid",5361.57787595544
"OGMn","cytotype_fraction_diploid",4748.34766816661
"OGMn","cytotype_fraction_diploid",5321.08603614512
"OGMn","cytotype_fraction_diploid",4872.11805023748
"OGMn","cytotype_fraction_diploid",5026.61350022301
"GSL.50","cytotype_fraction_diploid",4744.07766132112
"GSL.50","cytotype_fraction_diploid",4846.44251878866
"GSL.50","cytotype_fraction_diploid",4279.39291118242
"GSL.50","cytotype_fraction_diploid",4671.90204075718
"GSL.50","cytotype_fraction_diploid",4212.21205999939
"GSL.50","cytotype_fraction_diploid",4795.32019306473
"GSL.50","cytotype_fraction_diploid",3935.16427228452
"GSL.50","cytotype_fraction_diploid",4761.47898643519
"GSL.50","cytotype_fraction_diploid",4500.79135420344
"GSL.50","cytotype_fraction_diploid",4610.96326197821
"EVImax","cytotype_fraction_diploid",0.651453981128905
"EVImax","cytotype_fraction_diploid",0.564233279686854
"EVImax","cytotype_fraction_diploid",0.57941875487125
"EVImax","cytotype_fraction_diploid",0.572296053068772
"EVImax","cytotype_fraction_diploid",0.543982879762854
"EVImax","cytotype_fraction_diploid",0.565171659962198
"EVImax","cytotype_fraction_diploid",0.63012163450696
"EVImax","cytotype_fraction_diploid",0.639595966049544
"EVImax","cytotype_fraction_diploid",0.596733117442376
